position,company,reviews,location,roles,python,r,sas,oracle,java,sql,dataviz,statistics,excel,business_intelligence,communication,machine_learning,teamwork
"data science specialist - periscope, new ventures",mckinsey & company,385.0,"atlanta, ga 30318 ",data_scientist,False,True,True,False,False,False,False,True,True,False,True,False,False
senior data scientist,cotiviti,104.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,False,False,False,True,False
manager - data scientist ! orlando!,capgemini,5720.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False
scientist ii,the coca-cola company,7236.0,"atlanta, ga 30301 ",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
lead data scientist,norfolk southern corp,722.0,"atlanta, ga 30309 ",data_scientist,True,True,False,False,False,True,False,True,True,False,True,True,False
senior data scientist,norfolk southern corp,722.0,"atlanta, ga 30309 ",data_scientist,True,True,False,False,False,True,False,True,True,False,True,True,False
"data scientist - consultant level - orlando, florida - we will assist with relocation",capgemini,5720.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False
flight safety data analysis fall co-op,delta air lines,2963.0,"atlanta, ga",data_analyst,True,True,False,False,False,True,False,True,False,False,True,True,False
supervisory health scientist,centers for disease control and prevention,350.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,False,False,False,True,False,False
manager - cognitive data scientist natural language processing,kpmg,4494.0,"atlanta, ga 30338",data_scientist,False,True,False,False,False,False,False,True,True,False,True,True,False
"director, data scientist",kpmg,4494.0,"atlanta, ga 30338",data_scientist,True,True,True,False,True,False,False,True,True,False,True,True,False
"vp, data scientist- atlanta, ga; charlotte, nc",bank of america merchant services,159.0,"atlanta, ga",data_scientist,False,True,True,False,False,True,True,True,True,False,True,False,False
scientist i - sensory panel leader,the coca-cola company,7236.0,"atlanta, ga 30301 ",different_field,False,True,False,False,False,False,False,True,False,False,True,False,False
data scientist or data scientist lead ps10268,"anthem, inc.",3182.0,"atlanta, ga 30301 ",data_scientist,True,True,True,False,False,True,False,True,False,False,False,True,False
lead decision scientist,moxie,347.0,"atlanta, ga",different_field,True,True,False,False,False,True,False,True,True,False,False,True,False
senior cyber security data scientist,bank of america,21954.0,"atlanta, ga 30306 ",data_scientist,True,True,True,True,True,True,False,True,True,False,False,True,False
scientist ii/ecologist ii,hntb corporation,127.0,"atlanta, ga 30327 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
data engineer,gallup,140.0,"atlanta, ga",data_engineer,True,True,False,False,True,False,False,True,False,False,False,True,False
"manager, data scientist",kpmg,4494.0,"atlanta, ga 30338",data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False
machine learning / artificial intelligence research scientist,symantec,950.0,"atlanta, ga 30338",machine_learning_engineer,True,True,False,False,False,False,False,False,False,False,True,True,False
statistical quantitative analyst,suntrust,3343.0,"atlanta, ga",different_field,False,True,False,False,True,False,False,True,False,False,False,False,False
environmental scientist,tetra tech,260.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"scientist, asst bioinformatics",emory university,550.0,"atlanta, ga",different_field,True,True,False,False,True,True,False,False,False,False,True,False,False
research analyst,evident,8.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"scientist, asst (ar) som",emory healthcare,1181.0,"atlanta, ga 30322",different_field,False,True,False,False,False,False,False,True,False,False,True,False,False
"analyst, research",turner,375.0,"atlanta, ga 30319",different_field,True,True,False,False,False,True,True,False,True,False,False,False,False
"director, nlp data scientist",kpmg,4494.0,"atlanta, ga 30338",data_scientist,True,True,False,False,True,True,False,True,True,False,True,True,False
information technology specialist,centers for disease control and prevention,350.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,False,False,False,True,False,False
quantitative analyst,greensky,26.0,"atlanta, ga 30342 ",different_field,True,True,True,False,False,True,False,True,True,False,True,False,False
data analyst supply chain,the home depot,38844.0,"atlanta, ga",data_analyst,False,True,False,True,False,True,False,True,False,False,True,True,False
"scientist, asst (ar) som",emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,True,False,False,True,False,False
health communications specialist,eagle medical services,15.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"senior associate, data scientist (nlp/ai)",kpmg,4494.0,"atlanta, ga 30338",data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False
"data engineer - gc insights, new ventures",mckinsey & company,385.0,"atlanta, ga 30318 ",data_engineer,False,True,False,True,False,True,False,False,False,True,True,False,False
"technical evangelist – database, analytics, and machine learning",amazon.com,25907.0,"atlanta, ga",machine_learning_engineer,False,True,False,False,False,False,False,False,True,False,True,True,False
"sr scientist ii, analytical science",the coca-cola company,7236.0,"atlanta, ga 30301 ",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
director of data science,prestige staffing,139.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False
hiv research scientist,eagle medical services,15.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
si coe iot data modeling architect,xylem,257.0,"atlanta, ga",different_field,False,True,False,False,True,True,False,False,True,False,True,False,False
"azure data scientist, manager",kpmg,4494.0,"atlanta, ga 30338",data_scientist,True,True,False,False,True,False,False,True,True,False,False,True,False
"associate scientist, som",emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"data engineer, scala",captech consulting,14.0,"atlanta, ga",data_engineer,True,True,False,True,True,True,False,True,False,True,False,False,False
"director, financial services - data scientist",kpmg,4494.0,"atlanta, ga 30338",data_scientist,True,True,False,False,True,True,False,True,True,False,True,True,False
"regulatory labeling, advertising and promotion scientist",ucb,206.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
data & analytics developer,suntrust,3343.0,"atlanta, ga",different_field,False,True,False,False,True,True,False,False,True,False,False,False,False
product development scientist,the coca-cola company,7236.0,"atlanta, ga 30301 ",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
research scientist i,georgia state university,658.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,True,True,False,False,False,False
"data scientist - senior consultant - orlando, florida",capgemini,5720.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False
lead r & d engineer/scientist,honeywell,6121.0,"atlanta, ga 30308 ",different_field,True,True,False,False,True,False,False,False,False,False,True,False,False
quantitative finance analyst,bank of america,21954.0,"atlanta, ga 30308 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
advertiser research analyst,cox media group,221.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"manager, data scientist (ml/nlp) -- financial services",kpmg,4494.0,"atlanta, ga 30338",data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False
data science instructor,general assembly,144.0,"atlanta, ga",data_scientist,True,True,False,False,False,True,True,True,False,False,False,True,False
research informatics analyst,emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
enterprise data analyst & data engineer,novelis,189.0,"atlanta, ga",data_engineer,True,True,True,False,False,False,False,False,False,False,False,True,False
supply chain data science consultant,accenture,14200.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,True,False,True,True,False
public health communications specialist,2m research services,2.0,"atlanta, ga 30328",different_field,False,True,False,False,False,False,True,False,True,False,True,False,False
communications specialist,loyal,10.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,True,False,True,True,False
2018 - health research analyst 2 - new,northrop grumman,4061.0,"atlanta, ga 30301 ",different_field,False,True,True,False,False,False,False,True,False,False,False,False,False
business intelligence engineer,amazon.com,25907.0,"atlanta, ga",different_field,False,True,False,False,False,True,True,True,True,True,True,False,False
"scientist, asst (ar) school of medicine (som)",emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"entry level geologist, engineer or environmental scientist",wood,899.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"regulatory labeling, advertising and promotion scientist",ucb s.a.,206.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
quantitative analyst,voya financial,168.0,"atlanta, ga 30327 ",different_field,True,True,False,False,False,True,False,False,True,False,False,False,False
"director, data scientist -- financial services/insurance",kpmg,4494.0,"atlanta, ga 30338",data_scientist,True,True,True,False,True,False,False,True,True,False,True,True,False
supervisory epidemiologist,centers for disease control and prevention,350.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,False,False,False,True,False,False
quantitative finance analyst/c++ developer,bank of america,21954.0,"atlanta, ga 30308 ",different_field,True,True,True,False,False,True,False,True,True,False,True,True,False
"azure data scientist, senior associate",kpmg,4494.0,"atlanta, ga 30338",data_scientist,True,True,False,False,True,False,False,True,True,False,False,True,False
research analyst,"epiq systems, inc.",131.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
coding research analyst,zelis healthcare,21.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
data science manager- atlanta,capgemini,5720.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False
quantitative analyst,intercontinental exchange,57.0,"atlanta, ga",different_field,True,True,False,False,True,True,False,False,False,False,True,False,True
data visualization software engineer,kpmg,4494.0,"atlanta, ga 30338",different_field,False,True,False,False,True,True,True,False,True,True,False,False,False
"business intelligence analyst, people analytics & measurement",mckinsey & company,385.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,True,False,True,False,False,False
vendor research analyst,northside hospital,838.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
big data sw engineer,kpmg,4494.0,"atlanta, ga 30338",different_field,True,True,False,False,True,True,False,False,True,False,True,False,False
"senior scientist, content science","pandora media, inc.",33.0,"atlanta, ga",different_field,True,True,False,False,True,True,False,True,False,False,True,True,False
sponsored research financial analyst,emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
supply chain data science manager,accenture,14200.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,True,False,True,False,False
director hr data and insights,westrock,1301.0,"atlanta, ga",different_field,False,True,False,False,False,True,False,True,True,False,False,False,False
bi quantitative analyst,children's healthcare of atlanta,524.0,"atlanta, ga 30341",different_field,False,True,True,False,False,False,False,True,True,True,True,False,False
research specialist,emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
associate product designer,ibm,22257.0,"atlanta, ga 30319",different_field,False,True,False,False,False,False,True,False,False,False,True,False,False
ecologist,vhb,22.0,"atlanta, ga 30326 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
tech fall 2018 intern - machine learning,turner,375.0,"atlanta, ga 30319",machine_learning_engineer,True,True,False,False,False,False,False,True,False,False,False,True,False
r&d innovation engineer - video analytics/machine learning,honeywell,6121.0,"atlanta, ga 30308 ",machine_learning_engineer,True,True,False,False,True,False,False,False,False,False,True,True,False
lead data engineer,thoughtworks,59.0,"atlanta, ga 30361 ",data_engineer,False,True,False,False,False,True,False,False,True,False,False,True,False
data analytics engineer / big data engineer,ust global inc.,653.0,"atlanta, ga",data_engineer,True,True,False,True,True,True,False,False,True,False,True,False,False
corporate investment quantitative finance analyst,bank of america,21954.0,"atlanta, ga 30308 ",different_field,True,True,False,False,False,False,False,True,True,False,False,False,False
malware analyst,icf,392.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,False,True,False,True,False,False
"manager, statistical modeling & analytics",piedmont healthcare,325.0,"atlanta, ga 30363 ",different_field,False,True,False,False,False,False,True,True,True,False,True,False,False
"senior scientist, advertising","pandora media, inc.",33.0,"atlanta, ga",different_field,True,True,False,False,True,False,False,False,False,False,False,True,False
"junior specialist - periscope advanced insights growth mapping, new ventures",mckinsey & company,385.0,"atlanta, ga 30318 ",different_field,False,True,True,False,False,False,True,False,True,False,True,False,False
full stack developer,greensky,26.0,"atlanta, ga 30342 ",different_field,True,True,False,True,True,True,False,True,True,False,False,False,False
"senior associate, data scientist/statistics -- financial services",kpmg,4494.0,"atlanta, ga 30338",data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False
assistant scientist - metabolics division lead,emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
"senior data engineer, next big sound","pandora media, inc.",33.0,"atlanta, ga",data_engineer,True,True,False,False,True,True,False,False,False,False,False,False,False
market research analyst,resmed,78.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
biomedical engineering: faculty position - open rank (asst or assoc professor),emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
solutions consultant,oversight systems,6.0,"atlanta, ga",different_field,False,True,False,True,False,False,False,False,True,False,False,False,False
"director, data science (ps6695)","anthem, inc.",3182.0,"atlanta, ga 30301 ",data_scientist,True,True,True,False,False,False,False,True,False,False,True,True,False
sr. data scientist – market research,analytic recruiting,2.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,False,False,False,True,False
senior data scientist,smith hanley associates,18.0,"atlanta, ga",data_scientist,False,True,False,False,False,False,False,False,True,False,False,True,False
sr manager - data & analytics,general electric,292.0,"atlanta, ga 30319",different_field,True,True,True,True,True,True,True,True,True,True,False,False,False
big data engineer (mid to senior level),greensky,26.0,"atlanta, ga 30342 ",data_engineer,True,True,False,True,True,True,False,True,False,False,False,False,False
data science - senior consultant,capgemini,5720.0,"atlanta, ga",data_scientist,True,True,True,True,False,True,False,True,True,False,False,True,False
adolescent health evaluation specialist,icf,392.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,False,True,False,True,False,False
sr. data engineer,optomi,16.0,"atlanta, ga",data_engineer,True,True,False,False,False,True,False,False,True,False,False,False,False
"team lead – informatics. sensus usa inc. atlanta, georgia",xylem,257.0,"atlanta, ga",different_field,True,True,False,False,True,False,False,True,False,False,True,True,False
electrical / substation design engineer,burns & mcdonnell,152.0,"atlanta, ga 30309 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
windows programmer / software engineer (advanced degree) - elsys,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,True,False,False,False,False,True,False,False
electrical/computer engineer - eosl,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,True,True,False,False,False,False,False,True,False,False,True,False,False
principal research scientist,headway workforce solutions,209.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,True,False,False,False,False,False
senior business intelligence analyst,the home depot,38844.0,"atlanta, ga",different_field,True,True,True,True,True,True,False,True,True,True,True,True,False
"senior software engineer, machine learning","pandora media, inc.",33.0,"atlanta, ga",machine_learning_engineer,True,True,False,False,False,True,False,False,True,False,True,False,False
scientist,r&d partners,4.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,True,True,False,False,False,False
staff cad technician,golder associates,307.0,"atlanta, ga 30341",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
engineering co-op,golder associates,307.0,"atlanta, ga 30341",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"associate manager, agile paid media",the home depot,38844.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
category manager,juul labs,2.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
fpga hardware researcher - cipher,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,True,True,False,False,False,False,False,False,False,False,False,False,False
senior marketing research analyst,hd supply,1202.0,"atlanta, ga 30309 ",different_field,False,True,False,False,False,False,True,True,True,False,True,False,False
"right-of-way acquisition manager | atlanta, ga","gresham, smith and partners.",27.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
associate research scientist,r&d partners,4.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,True,True,False,True,False,False
entry-level electrical engineer,burns & mcdonnell,152.0,"atlanta, ga 30309 ",different_field,False,True,True,False,False,False,False,False,True,False,True,False,False
staff software engineer,general electric,292.0,"atlanta, ga 30319",different_field,True,True,True,False,True,False,False,False,True,False,True,False,False
principal engineer,cotiviti,104.0,"atlanta, ga",different_field,True,True,False,False,True,True,False,True,True,False,True,True,False
devops engineer - elsys,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,True,True,False,False,True,False,False,False,False,False,False,False,False
"senior analyst, payments study - gc insights, new ventures",mckinsey & company,385.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
"senior analyst - multi-client benchmarks, gc insights - new ventures",mckinsey & company,385.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,True,True,True,True,False,False,False,False
bi - analytics - cloud platform operations analyst,the coca-cola company,7236.0,"atlanta, ga 30301 ",different_field,True,True,False,False,False,True,False,False,True,True,True,False,False
sr quantitative finance analyst/c++ developer,bank of america,21954.0,"atlanta, ga 30308 ",different_field,True,True,True,False,False,True,False,True,True,False,True,True,False
business analytics consultant sr,pnc financial services group,4650.0,"atlanta, ga",different_field,True,True,False,False,False,True,False,True,True,True,True,True,False
"senior engineer ii, packaging research",the coca-cola company,7236.0,"atlanta, ga 30301 ",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
pediatrics – dir. pediatric clinical and translational research,emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,True,True,False,True,False,False
avionics system designer - elsys,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior research analyst and team lead - hr insights - bersin,deloitte,6869.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
landscape architect (graduate),jacobs,2380.0,"atlanta, ga 30309 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"post-doctoral fellowship training program in cancer epidemiology, prevention and survivorship",american cancer society,959.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,True,False,False,True,False,False
senior software researcher - cipher,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,True,True,False,False,True,False,False,False,False,False,False,False,False
configuration management/quality assurance manager -atas,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
windows programmer / software engineer- elsys,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,True,False,False,False,False,True,False,False
cyber security systems engineer,icf,392.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
"technical product manager – secureworks – austin, tx, atlanta, ga, d.c. metro, or remote",dell,8380.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
data scientist,matrix resources,58.0,"atlanta, ga 30328",data_scientist,True,True,False,False,False,True,False,True,False,False,False,True,False
senior fpga hardware researcher - cipher,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,True,True,False,False,False,False,False,False,False,False,True,True,False
environmental project engineer - ccr/fly ash npdes,stantec,460.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
technical lead data engineer/architect,beacon hill technologies,184.0,"atlanta, ga",data_engineer,False,True,True,False,False,True,False,False,True,False,True,False,False
"post-doctoral fellow- medical imaging, machine learning and ct physics",emory university,550.0,"atlanta, ga",machine_learning_engineer,True,True,False,False,False,False,False,False,True,False,True,True,False
avionics system designer (advanced degree) - elsys,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
branch head for fpga hardware research and development - cipher,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,True,True,False,False,False,False,False,False,False,False,True,True,False
sr. staff enterprise application engineer,general electric,292.0,"atlanta, ga 30319",different_field,True,True,True,True,True,True,False,False,True,False,False,False,False
commercial construction market leader – global facilities,burns & mcdonnell,152.0,"atlanta, ga 30309 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior firmware engineer - elsys,georgia tech research institute,496.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,False,False,False,False,False
senior staff-national tax office,crowe,176.0,"atlanta, ga 30326 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior analyst - marketing research,georgia-pacific,1947.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,True,False,False,False,False,False
"sr. product manager – secureworks – austin, tx, atlanta, ga, d.c. metro, or remote",dell,8380.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
senior web developer,perficient,44.0,"atlanta, ga 30338",different_field,False,True,False,True,True,True,False,False,False,False,False,False,False
sr staff software engineer,general electric,292.0,"atlanta, ga 30319",different_field,False,True,True,False,False,False,False,False,True,False,False,False,False
data scientist,"elavon, inc.",233.0,"atlanta, ga 30328",data_scientist,True,True,True,False,False,True,False,True,False,False,False,False,False
"senior analyst - gc insights, new ventures",mckinsey & company,385.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,True,False,False,False,False
assistant architect,burns & mcdonnell,152.0,"atlanta, ga 30309 ",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
senior market research analyst,pearson,1600.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
advanced analytics consultant - machine learning,slalom consulting,48.0,"atlanta, ga 30326 ",machine_learning_engineer,True,True,False,False,True,False,False,False,False,False,True,True,False
data scientist,cardinal solutions,2.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,False,False,True,True,False
data scientist,operation hope,44.0,"atlanta, ga 30303 ",data_scientist,True,True,False,False,True,True,True,True,True,False,True,True,False
advanced data scientist,honeywell,6121.0,"atlanta, ga 30308 ",data_scientist,True,True,False,False,False,True,True,False,False,False,False,True,False
data scientist,the coca-cola company,7236.0,"atlanta, ga 30301 ",data_scientist,False,True,False,False,False,True,False,True,False,False,False,False,False
data scientist iii,honeywell,6121.0,"atlanta, ga 30308 ",data_scientist,True,True,False,False,True,True,True,False,True,False,True,True,False
data scientist,u.s. bank,5416.0,"atlanta, ga",data_scientist,True,True,True,False,False,True,False,True,False,False,False,False,False
data scientist,catalina marketing,78.0,"atlanta, ga",data_scientist,True,True,False,False,False,False,False,True,False,False,True,True,False
data science solutions lead(data engineer)-ps10274,"anthem, inc.",3182.0,"atlanta, ga 30301 ",data_engineer,True,True,False,False,True,True,False,False,False,False,True,True,False
account executive - atlanta,"alteryx, inc.",5.0,"atlanta, ga 30318 ",different_field,False,True,False,False,False,False,False,False,True,True,True,False,False
clinical research coordinator/nurse,general dynamics information technology,5915.0,"atlanta, ga 30350",different_field,False,True,False,False,False,False,False,False,False,False,True,False,False
computer network defense (cnd) analyst,icf,392.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
computer operator/support engineer,oversight systems,6.0,"atlanta, ga",different_field,False,True,False,False,False,True,False,False,True,False,True,False,False
"sr. manager , data science forecasting",newell brands,912.0,"atlanta, ga",data_scientist,True,True,True,False,False,False,False,True,False,False,True,True,False
operations research analyst (contractor role),norfolk southern corp,722.0,"atlanta, ga 30309 ",different_field,False,True,False,False,True,True,False,False,True,False,True,False,False
director of monitoring and evaluation,united way,1365.0,"atlanta, ga",different_field,False,True,True,False,False,False,False,False,True,False,False,False,False
post doctoral fellow biochemistry,emory university,550.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
sr data analyst supply chain,the home depot,38844.0,"atlanta, ga",data_analyst,True,True,True,True,True,True,False,True,True,False,True,True,False
chronic disease portfolio lead,icf,392.0,"atlanta, ga",different_field,False,True,False,False,False,False,False,False,True,False,True,False,False
