,position,company,reviews,city,state,position_type,roles,python,r,sas,oracle,java,sql,dataviz,statistics,excel,business_intelligence,communication,machine_learning,teamwork,1yr
25,entry level/junior-level scientist,"kleinfelder, inc.",92.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
26,scientist - data analysis,american cancer society,959.0,atlanta,ga,data_scientist,data_analyst,False,True,True,False,False,False,False,False,False,False,True,False,True,False
27,data scientist,salesloft,7.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,True,False,True,False,False,False,True,False,False
28,data scientist,mckesson,3558.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,True,False,True,True,False,True,False,False,False
29,data scientist,the intersect group,29.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,False,False,True,False,False,True,True,False,False
30,health scientist,centers for disease control and prevention,350.0,atlanta,ga,data_scientist,different_field,False,True,True,False,False,False,False,False,False,False,False,False,False,False
31,data scientist - space optimization,the home depot,38844.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,True,True,False,True,False,False,True,True,False,False
32,"data science specialist - periscope, new ventures",mckinsey & company,385.0,atlanta,ga,data_scientist,data_scientist,False,True,True,False,False,False,False,True,True,False,True,False,False,False
33,senior data scientist,cotiviti,104.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,False,False,False,True,False,False
34,manager - data scientist ! orlando!,capgemini,5720.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False,False
35,scientist ii,the coca-cola company,7236.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
36,lead data scientist,norfolk southern corp,722.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,True,False,True,True,False,True,True,False,False
37,senior data scientist,norfolk southern corp,722.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,True,False,True,True,False,True,True,False,False
38,"data scientist - consultant level - orlando, florida - we will assist with relocation",capgemini,5720.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False,False
39,flight safety data analysis fall co-op,delta air lines,2963.0,atlanta,ga,analyst,data_analyst,True,True,False,False,False,True,False,True,False,False,True,True,False,False
40,supervisory health scientist,centers for disease control and prevention,350.0,atlanta,ga,data_scientist,different_field,False,True,True,False,False,False,False,False,False,False,True,False,False,False
41,manager - cognitive data scientist natural language processing,kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,False,False,True,True,False,True,True,False,False
42,"director, data scientist",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,True,False,False,True,True,False,True,True,False,False
43,"vp, data scientist- atlanta, ga; charlotte, nc",bank of america merchant services,159.0,atlanta,ga,data_scientist,data_scientist,False,True,True,False,False,True,True,True,True,False,True,False,False,False
44,scientist i - sensory panel leader,the coca-cola company,7236.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,True,False,False,True,False,False,False
45,data scientist or data scientist lead ps10268,"anthem, inc.",3182.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,False,False,False,True,False,False
46,lead decision scientist,moxie,347.0,atlanta,ga,data_scientist,different_field,True,True,False,False,False,True,False,True,True,False,False,True,False,False
47,senior cyber security data scientist,bank of america,21954.0,atlanta,ga,data_scientist,data_scientist,True,True,True,True,True,True,False,True,True,False,False,True,False,False
48,scientist ii/ecologist ii,hntb corporation,127.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
49,data engineer,gallup,140.0,atlanta,ga,engineer,data_engineer,True,True,False,False,True,False,False,True,False,False,False,True,False,False
50,"manager, data scientist",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False,False
51,machine learning / artificial intelligence research scientist,symantec,950.0,atlanta,ga,machine_learning,machine_learning_engineer,True,True,False,False,False,False,False,False,False,False,True,True,False,False
52,statistical quantitative analyst,suntrust,3343.0,atlanta,ga,analyst,different_field,False,True,False,False,True,False,False,True,False,False,False,False,False,False
53,environmental scientist,tetra tech,260.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
54,"scientist, asst bioinformatics",emory university,550.0,atlanta,ga,data_scientist,different_field,True,True,False,False,True,True,False,False,False,False,True,False,False,False
55,research analyst,evident,8.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
56,"scientist, asst (ar) som",emory healthcare,1181.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,True,False,False,True,False,False,False
57,"analyst, research",turner,375.0,atlanta,ga,analyst,different_field,True,True,False,False,False,True,True,False,True,False,False,False,False,False
58,"director, nlp data scientist",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,True,True,False,True,True,False,True,True,False,False
59,information technology specialist,centers for disease control and prevention,350.0,atlanta,ga,other,different_field,False,True,True,False,False,False,False,False,False,False,True,False,False,False
60,quantitative analyst,greensky,26.0,atlanta,ga,analyst,different_field,True,True,True,False,False,True,False,True,True,False,True,False,False,False
61,data analyst supply chain,the home depot,38844.0,atlanta,ga,analyst,data_analyst,False,True,False,True,False,True,False,True,False,False,True,True,False,True
62,"scientist, asst (ar) som",emory university,550.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,True,False,False,True,False,False,False
63,health communications specialist,eagle medical services,15.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
64,"senior associate, data scientist (nlp/ai)",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False,False
65,"data engineer - gc insights, new ventures",mckinsey & company,385.0,atlanta,ga,engineer,data_engineer,False,True,False,True,False,True,False,False,False,True,True,False,False,False
66,"technical evangelist – database, analytics, and machine learning",amazon.com,25907.0,atlanta,ga,machine_learning,machine_learning_engineer,False,True,False,False,False,False,False,False,True,False,True,True,False,False
67,"sr scientist ii, analytical science",the coca-cola company,7236.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,False,False,False,False,False,False
68,director of data science,prestige staffing,139.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False,False
69,hiv research scientist,eagle medical services,15.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
70,si coe iot data modeling architect,xylem,257.0,atlanta,ga,other,different_field,False,True,False,False,True,True,False,False,True,False,True,False,False,False
71,"azure data scientist, manager",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,True,False,False,True,True,False,False,True,False,False
72,"associate scientist, som",emory university,550.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
73,"data engineer, scala",captech consulting,14.0,atlanta,ga,engineer,data_engineer,True,True,False,True,True,True,False,True,False,True,False,False,False,False
74,"director, financial services - data scientist",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,True,True,False,True,True,False,True,True,False,False
75,"regulatory labeling, advertising and promotion scientist",ucb,206.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
76,data & analytics developer,suntrust,3343.0,atlanta,ga,analyst,different_field,False,True,False,False,True,True,False,False,True,False,False,False,False,False
77,product development scientist,the coca-cola company,7236.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
78,research scientist i,georgia state university,658.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,True,True,False,False,False,False,False
79,"data scientist - senior consultant - orlando, florida",capgemini,5720.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False,False
80,lead r & d engineer/scientist,honeywell,6121.0,atlanta,ga,data_scientist,different_field,True,True,False,False,True,False,False,False,False,False,True,False,False,False
81,quantitative finance analyst,bank of america,21954.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
82,advertiser research analyst,cox media group,221.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
83,"manager, data scientist (ml/nlp) -- financial services",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False,False
84,data science instructor,general assembly,144.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,True,True,True,False,False,False,True,False,False
85,research informatics analyst,emory university,550.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,False,False,False,False,False,False
86,enterprise data analyst & data engineer,novelis,189.0,atlanta,ga,analyst,data_engineer,True,True,True,False,False,False,False,False,False,False,False,True,False,False
87,supply chain data science consultant,accenture,14200.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,True,False,True,True,False,True
88,public health communications specialist,2m research services,2.0,atlanta,ga,other,different_field,False,True,False,False,False,False,True,False,True,False,True,False,False,False
89,communications specialist,loyal,10.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,True,False,False
90,2018 - health research analyst 2 - new,northrop grumman,4061.0,atlanta,ga,analyst,different_field,False,True,True,False,False,False,False,True,False,False,False,False,False,False
91,business intelligence engineer,amazon.com,25907.0,atlanta,ga,engineer,different_field,False,True,False,False,False,True,True,True,True,True,True,False,False,False
92,"scientist, asst (ar) school of medicine (som)",emory university,550.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
93,"entry level geologist, engineer or environmental scientist",wood,899.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
94,"regulatory labeling, advertising and promotion scientist",ucb s.a.,206.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
95,quantitative analyst,voya financial,168.0,atlanta,ga,analyst,different_field,True,True,False,False,False,True,False,False,True,False,False,False,False,False
96,"director, data scientist -- financial services/insurance",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,True,False,False,True,True,False,True,True,False,False
97,supervisory epidemiologist,centers for disease control and prevention,350.0,atlanta,ga,other,different_field,False,True,True,False,False,False,False,False,False,False,True,False,False,False
98,quantitative finance analyst/c++ developer,bank of america,21954.0,atlanta,ga,analyst,different_field,True,True,True,False,False,True,False,True,True,False,True,True,False,False
99,"azure data scientist, senior associate",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,True,False,False,True,True,False,False,True,False,False
100,research analyst,"epiq systems, inc.",131.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
101,coding research analyst,zelis healthcare,21.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
102,data science manager- atlanta,capgemini,5720.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,True,False,False,True,False,False
103,quantitative analyst,intercontinental exchange,57.0,atlanta,ga,analyst,different_field,True,True,False,False,True,True,False,False,False,False,True,False,True,False
104,data visualization software engineer,kpmg,4494.0,atlanta,ga,engineer,different_field,False,True,False,False,True,True,True,False,True,True,False,False,False,False
105,"business intelligence analyst, people analytics & measurement",mckinsey & company,385.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,True,False,True,False,False,False,False
106,vendor research analyst,northside hospital,838.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
107,big data sw engineer,kpmg,4494.0,atlanta,ga,engineer,different_field,True,True,False,False,True,True,False,False,True,False,True,False,False,False
108,"senior scientist, content science","pandora media, inc.",33.0,atlanta,ga,data_scientist,different_field,True,True,False,False,True,True,False,True,False,False,True,True,False,False
109,sponsored research financial analyst,emory university,550.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
110,supply chain data science manager,accenture,14200.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,True,False,True,False,False,False
111,director hr data and insights,westrock,1301.0,atlanta,ga,other,different_field,False,True,False,False,False,True,False,True,True,False,False,False,False,False
112,bi quantitative analyst,children's healthcare of atlanta,524.0,atlanta,ga,analyst,different_field,False,True,True,False,False,False,False,True,True,True,True,False,False,False
113,research specialist,emory university,550.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
114,associate product designer,ibm,22257.0,atlanta,ga,other,different_field,False,True,False,False,False,False,True,False,False,False,True,False,False,True
115,ecologist,vhb,22.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
116,tech fall 2018 intern - machine learning,turner,375.0,atlanta,ga,machine_learning,machine_learning_engineer,True,True,False,False,False,False,False,True,False,False,False,True,False,False
117,r&d innovation engineer - video analytics/machine learning,honeywell,6121.0,atlanta,ga,machine_learning,machine_learning_engineer,True,True,False,False,True,False,False,False,False,False,True,True,False,False
118,lead data engineer,thoughtworks,59.0,atlanta,ga,engineer,data_engineer,False,True,False,False,False,True,False,False,True,False,False,True,False,False
119,data analytics engineer / big data engineer,ust global inc.,653.0,atlanta,ga,analyst,data_engineer,True,True,False,True,True,True,False,False,True,False,True,False,False,False
120,corporate investment quantitative finance analyst,bank of america,21954.0,atlanta,ga,analyst,different_field,True,True,False,False,False,False,False,True,True,False,False,False,False,False
121,malware analyst,icf,392.0,atlanta,ga,analyst,different_field,False,True,True,False,False,False,False,False,True,False,True,False,False,False
122,"manager, statistical modeling & analytics",piedmont healthcare,325.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,True,True,True,False,True,False,False,False
123,"senior scientist, advertising","pandora media, inc.",33.0,atlanta,ga,data_scientist,different_field,True,True,False,False,True,False,False,False,False,False,False,True,False,False
124,"junior specialist - periscope advanced insights growth mapping, new ventures",mckinsey & company,385.0,atlanta,ga,other,different_field,False,True,True,False,False,False,True,False,True,False,True,False,False,False
125,full stack developer,greensky,26.0,atlanta,ga,other,different_field,True,True,False,True,True,True,False,True,True,False,False,False,False,False
126,"senior associate, data scientist/statistics -- financial services",kpmg,4494.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,False,True,True,True,False,False,True,False,False
127,assistant scientist - metabolics division lead,emory university,550.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
128,"senior data engineer, next big sound","pandora media, inc.",33.0,atlanta,ga,engineer,data_engineer,True,True,False,False,True,True,False,False,False,False,False,False,False,False
129,market research analyst,resmed,78.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
130,biomedical engineering: faculty position - open rank (asst or assoc professor),emory university,550.0,atlanta,ga,engineer,different_field,False,True,False,False,False,False,False,False,False,False,False,False,False,False
131,solutions consultant,oversight systems,6.0,atlanta,ga,other,different_field,False,True,False,True,False,False,False,False,True,False,False,False,False,False
132,"director, data science (ps6695)","anthem, inc.",3182.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,False,False,True,False,False,True,True,False,False
133,sr. data scientist – market research,analytic recruiting,2.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,False,False,False,True,False,False
134,senior data scientist,smith hanley associates,18.0,atlanta,ga,data_scientist,data_scientist,False,True,False,False,False,False,False,False,True,False,False,True,False,False
135,sr manager - data & analytics,general electric,292.0,atlanta,ga,analyst,different_field,True,True,True,True,True,True,True,True,True,True,False,False,False,False
136,big data engineer (mid to senior level),greensky,26.0,atlanta,ga,engineer,data_engineer,True,True,False,True,True,True,False,True,False,False,False,False,False,False
137,data science - senior consultant,capgemini,5720.0,atlanta,ga,data_scientist,data_scientist,True,True,True,True,False,True,False,True,True,False,False,True,False,False
138,adolescent health evaluation specialist,icf,392.0,atlanta,ga,other,different_field,False,True,True,False,False,False,False,False,True,False,True,False,False,False
139,sr. data engineer,optomi,16.0,atlanta,ga,engineer,data_engineer,True,True,False,False,False,True,False,False,True,False,False,False,False,False
140,"team lead – informatics. sensus usa inc. atlanta, georgia",xylem,257.0,atlanta,ga,other,different_field,True,True,False,False,True,False,False,True,False,False,True,True,False,False
141,electrical / substation design engineer,burns & mcdonnell,152.0,atlanta,ga,engineer,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
142,windows programmer / software engineer (advanced degree) - elsys,georgia tech research institute,496.0,atlanta,ga,engineer,different_field,False,True,False,False,False,True,False,False,False,False,True,False,False,False
143,electrical/computer engineer - eosl,georgia tech research institute,496.0,atlanta,ga,engineer,different_field,True,True,False,False,False,False,False,True,False,False,True,False,False,False
144,principal research scientist,headway workforce solutions,209.0,atlanta,ga,data_scientist,different_field,False,True,True,False,False,False,False,True,False,False,False,False,False,False
145,senior business intelligence analyst,the home depot,38844.0,atlanta,ga,analyst,different_field,True,True,True,True,True,True,False,True,True,True,True,True,False,False
146,"senior software engineer, machine learning","pandora media, inc.",33.0,atlanta,ga,machine_learning,machine_learning_engineer,True,True,False,False,False,True,False,False,True,False,True,False,False,False
147,scientist,r&d partners,4.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,True,True,False,False,False,False,False
148,staff cad technician,golder associates,307.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
149,engineering co-op,golder associates,307.0,atlanta,ga,engineer,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
150,"associate manager, agile paid media",the home depot,38844.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
151,category manager,juul labs,2.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
152,fpga hardware researcher - cipher,georgia tech research institute,496.0,atlanta,ga,other,different_field,True,True,False,False,False,False,False,False,False,False,False,False,False,False
153,senior marketing research analyst,hd supply,1202.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,True,True,True,False,True,False,False,False
154,"right-of-way acquisition manager | atlanta, ga","gresham, smith and partners.",27.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
155,associate research scientist,r&d partners,4.0,atlanta,ga,data_scientist,different_field,False,True,False,False,False,False,False,True,True,False,True,False,False,False
156,entry-level electrical engineer,burns & mcdonnell,152.0,atlanta,ga,engineer,different_field,False,True,True,False,False,False,False,False,True,False,True,False,False,False
157,staff software engineer,general electric,292.0,atlanta,ga,engineer,different_field,True,True,True,False,True,False,False,False,True,False,True,False,False,False
158,principal engineer,cotiviti,104.0,atlanta,ga,engineer,different_field,True,True,False,False,True,True,False,True,True,False,True,True,False,False
159,devops engineer - elsys,georgia tech research institute,496.0,atlanta,ga,engineer,different_field,True,True,False,False,True,False,False,False,False,False,False,False,False,False
160,"senior analyst, payments study - gc insights, new ventures",mckinsey & company,385.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
161,"senior analyst - multi-client benchmarks, gc insights - new ventures",mckinsey & company,385.0,atlanta,ga,analyst,different_field,False,True,False,False,False,True,True,True,True,False,False,False,False,False
162,bi - analytics - cloud platform operations analyst,the coca-cola company,7236.0,atlanta,ga,analyst,different_field,True,True,False,False,False,True,False,False,True,True,True,False,False,False
163,sr quantitative finance analyst/c++ developer,bank of america,21954.0,atlanta,ga,analyst,different_field,True,True,True,False,False,True,False,True,True,False,True,True,False,False
164,business analytics consultant sr,pnc financial services group,4650.0,atlanta,ga,analyst,different_field,True,True,False,False,False,True,False,True,True,True,True,True,False,False
165,"senior engineer ii, packaging research",the coca-cola company,7236.0,atlanta,ga,engineer,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
166,pediatrics – dir. pediatric clinical and translational research,emory university,550.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,True,True,False,True,False,False,False
167,avionics system designer - elsys,georgia tech research institute,496.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
168,senior research analyst and team lead - hr insights - bersin,deloitte,6869.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
169,landscape architect (graduate),jacobs,2380.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
170,"post-doctoral fellowship training program in cancer epidemiology, prevention and survivorship",american cancer society,959.0,atlanta,ga,other,different_field,False,True,True,False,False,False,False,True,False,False,True,False,False,False
171,senior software researcher - cipher,georgia tech research institute,496.0,atlanta,ga,other,different_field,True,True,False,False,True,False,False,False,False,False,False,False,False,False
172,configuration management/quality assurance manager -atas,georgia tech research institute,496.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
173,windows programmer / software engineer- elsys,georgia tech research institute,496.0,atlanta,ga,engineer,different_field,False,True,False,False,False,True,False,False,False,False,True,False,False,False
174,cyber security systems engineer,icf,392.0,atlanta,ga,engineer,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
175,"technical product manager – secureworks – austin, tx, atlanta, ga, d.c. metro, or remote",dell,8380.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,False,False,False,False,False,False
176,data scientist,matrix resources,58.0,atlanta,ga,data_scientist,data_scientist,True,True,False,False,False,True,False,True,False,False,False,True,False,False
177,senior fpga hardware researcher - cipher,georgia tech research institute,496.0,atlanta,ga,other,different_field,True,True,False,False,False,False,False,False,False,False,True,True,False,False
178,environmental project engineer - ccr/fly ash npdes,stantec,460.0,atlanta,ga,engineer,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
179,technical lead data engineer/architect,beacon hill technologies,184.0,atlanta,ga,engineer,data_engineer,False,True,True,False,False,True,False,False,True,False,True,False,False,False
180,"post-doctoral fellow- medical imaging, machine learning and ct physics",emory university,550.0,atlanta,ga,machine_learning,machine_learning_engineer,True,True,False,False,False,False,False,False,True,False,True,True,False,False
181,avionics system designer (advanced degree) - elsys,georgia tech research institute,496.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
182,branch head for fpga hardware research and development - cipher,georgia tech research institute,496.0,atlanta,ga,other,different_field,True,True,False,False,False,False,False,False,False,False,True,True,False,False
183,sr. staff enterprise application engineer,general electric,292.0,atlanta,ga,engineer,different_field,True,True,True,True,True,True,False,False,True,False,False,False,False,False
184,commercial construction market leader – global facilities,burns & mcdonnell,152.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
185,senior firmware engineer - elsys,georgia tech research institute,496.0,atlanta,ga,engineer,different_field,False,True,False,False,False,False,False,False,False,False,False,False,False,False
186,senior staff-national tax office,crowe,176.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
187,senior analyst - marketing research,georgia-pacific,1947.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,True,False,False,False,False,False,False
188,"sr. product manager – secureworks – austin, tx, atlanta, ga, d.c. metro, or remote",dell,8380.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,False,False,True,False,False,False
189,senior web developer,perficient,44.0,atlanta,ga,other,different_field,False,True,False,True,True,True,False,False,False,False,False,False,False,False
190,sr staff software engineer,general electric,292.0,atlanta,ga,engineer,different_field,False,True,True,False,False,False,False,False,True,False,False,False,False,False
191,data scientist,"elavon, inc.",233.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,False,False,False,False,False,False
192,"senior analyst - gc insights, new ventures",mckinsey & company,385.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,False,False,False,False
193,assistant architect,burns & mcdonnell,152.0,atlanta,ga,other,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
194,senior market research analyst,pearson,1600.0,atlanta,ga,analyst,different_field,False,True,False,False,False,False,False,False,True,False,True,False,False,False
195,advanced analytics consultant - machine learning,slalom consulting,48.0,atlanta,ga,machine_learning,machine_learning_engineer,True,True,False,False,True,False,False,False,False,False,True,True,False,False
196,data scientist,cardinal solutions,2.0,atlanta,ga,data_scientist,data_scientist,True,True,True,False,False,True,False,True,False,False,True,True,False,False
